Olympic stadium,35.67816,139.71489,開会式,陸上競技,サッカー,閉会式
Tokyo Metropolitan Gymnasium,35.71908,139.72956,卓球,,,
Yoyogi National Gymnasium,35.66634,139.69479,ハンドボール,,,
Nippon Budokan,35.69324,139.74987,柔道,空手,,
Imperial Palace Garden,35.68358,139.74436,陸上競技,,,
Tokyo International Forum,35.67669,139.76437,ウエイトリフティング,,,
Kokugikan,35.69691,139.79351,ボクシング,,,
Bajikouen,35.63851,139.63226,馬術,,,
Musashino Mori General Sports Plaza,35.66496,139.52447,バドミントン,近代五種,,
Tokyo Stadium,35.66427,139.52715,サッカー,ラグビー,近代五種,
Musashino Mori General Sports Plaza,35.67659,139.5234,自転車競技,,,
Ariake Arena,35.63628,139.79014,バレーボール,,,
Olympic Gymnastic Center,35.63577,139.79051,体操,,,
Ariake Urban Sports Park,35.63311,139.79237,自転車競技,,,
Ariake Tennis Park,35.63461,139.78858,テニス,,,
Odaiba Marine Park,35.62934,139.77534,水泳,トライアスロン,,
Shiokaze Park,35.62401,139.76877,バレーボール,,,
Aomi Urban Sports Park,35.62328,139.77635,バスケットボール,スポーツクライミング,,
Seaside Park Hockey Stadium,35.59215,139.7528,ホッケー,,,
Sea Forest Cross-Contry Course,35.60701,139.80528,馬術,,,
Sea Forest Waterway,35.60083,139.80643,カヌー,ボート,,
Kasai Canoe Slalom Centre,35.64326,139.85322,カヌー,,,
Dream Island Archery Field,35.65047,139.82566,アーチェリー,,,
Olympic Aquatics Centre,35.65114,139.81504,水泳,,,
Tatsumi Water Polo Centre,35.64766,139.81894,水泳,,,
Makuhari Messe,35.6498,140.03635,テコンドー,レスリング,フェンシング,
Tsurigasaki Surfing Beach,34.99147,139.83645,サーフィン,,,
Saitama Super Arena,35.89508,139.63073,バスケットボール,,,
Asaka Shooting Range,35.77894,139.5851,射撃,,,
Kasumigaseki Country Club,35.90145,139.40443,ゴルフ,,,
Enosima Yacht Harbor,35.29961,139.48356,セーリング,,,
Izu Velodrome,35.01155,139.01526,自転車競技,,,
Izu MTB Cource,34.97658,138.9467,自転車競技,,,
Fuji International Speedway,35.36683,138.93643,自転車競技,,,
Fukushima Azuma Baseball Stadium,37.72141,140.36368,野球,ソフトボール,,
Yokohama Baceball Stadium,35.44331,139.64007,野球,ソフトボール,,
Sapporo Dome,43.01497,141.40987,サッカー,,,
Miyagi Stadium,38.33547,140.95029,サッカー,,,
Ibaraki Kashima Stadium,35.99199,140.64033,サッカー,,,
Saitama Stadium,35.90307,139.71739,サッカー,,,
International Stadium Yokohama,35.50997,139.60629,サッカー,,,
